1.5925,2.52,1.3225
1.555,2.725,1.3125
1.47,2.1925,1.39
1.4725,1.955,1.505
1.45,2.34,1.4125
1.3725,2.375,1.2675
1.3725,2.4025,1.0525
1.3,2.4625,1.0175
1.335,2.565,1.1025
1.4,2.3075,1.2325
1.53,2.275,1.335
1.455,2.38,1.2875
1.3925,2.2225,1.18
1.2825,2.1225,1.04
1.3375,2.0775,1.015
1.37,1.8325,0.9675
1.4125,1.87,1.1025
1.4125,2.0925,1.165
1.3775,2.205,1.1775
1.315,1.9825,1.19
1.255,2.0375,1.2325
1.23,2.0575,1.2075
1.275,1.9925,1.215
1.3225,2.0825,1.26
1.365,2.27,1.22
1.4325,2.055,1.18
1.5975,1.8875,1.16
1.545,1.9775,1.1875
1.4525,1.905,1.0775
1.4375,1.7875,1.0075
1.415,2.0175,1.11
1.5025,2.2225,1.285
1.345,2.2025,1.245
1.3575,2.0575,1.2575
1.3175,1.9075,1.4225
1.395,1.91,1.285
1.365,2.2025,1.375
1.575,2.215,1.27
1.505,2.02,1.24
1.5425,2.0875,1.12
1.38,2.2775,1.065
1.6475,2.16,1.03
1.8775,2.2325,1.14
1.785,2.32,1.165
1.74,1.805,1.2725
1.8975,2.135,1.2475
1.775,2.255,1.13
1.785,1.9675,1.165
2.1275,1.905,1.1575
2.255,2.29,1.2925
1.9925,2.1025,1.51
1.8225,2.105,1.4925
1.74,2.18,1.31
1.7125,1.9875,1.4375
2.065,1.9,1.425
1.995,2.0675,1.65
1.885,2.34,1.7875
1.9725,2.1425,2.0425
1.9475,2.1975,1.87
1.8875,2.67,1.97
1.88,2.455,2.125
2.27,2.445,2.66
2.39,2.68,2.765
2.4825,2.435,2.7175
2.825,2.265,2.235
2.9625,2.595,2.74
3.5775,2.5125,3.1225
3.285,2.3575,2.9875
3.315,2.64,3.475
3.4225,3.1575,3.7675
3.39,3.3375,3.08
3.655,2.8475,4.3775
3.825,2.965,4.3475
3.54,3.7775,4.335
3.8375,3.425,3.85
3.8475,3.325,4.2425
3.6325,3.85,3.84
3.4175,3.8,3.235
3.665,3.94,3.0975
3.4925,3.9925,3.225
4.0025,4.1675,2.98
4.285,5.6175,3.37
4.395,5.61,3.3775
4.495,4.7075,2.99
4.32,5.2225,3.0875
4.735,5.315,3.325
4.28,5.03,4.2325
3.6475,5.0825,4.5525
4.235,4.8275,4.4275
4.67,4.065,4.185
5.75,4.365,5.25
4.895,4.695,4.98
4.8375,4.5125,4.41
4.6375,4.2475,3.9075
4.5475,5.16,4.3725
3.9475,4.61,4.4425
4.2625,4.7525,3.975
4.3425,4.55,4.605
4.545,4.3225,4.66
4.3,3.3775,3.9925
3.8725,3.5175,3.47
4.55,3.935,3.7175
4.32,3.49,3.7925
3.1475,3.5925,3.0775
3.985,3.72,3.44
4.1675,4.265,3.555
4.0825,3.955,3.2725
4.205,2.905,2.9425
3.9375,3.4925,2.885
3.3225,3.38,2.895
3.2075,3.355,2.8975
3.19,3.5825,2.675
3.0925,3.1825,3.135
3.1475,3.3425,2.835
3.15,4.1625,2.745
3.63,4.4575,3.005
3.695,3.7,3.1775
3.8625,3.3525,3.185
3.5825,3.73,2.885
3.4175,4.6825,3.0875
3.4825,5.1875,3.205
3.32,5.665,3.04
3.5125,5.74,2.9425
4.0875,5.56,3.2375
4.2575,4.9975,2.84
4.2625,5.04,3.0875
4.27,3.865,2.6475
4.58,3.74,2.965
4.49,3.9375,2.8925
4.4425,4.4775,3.2175
4.585,3.76,3.0925
4.5,4.235,2.795
4.08,3.6275,2.945
4.1175,3.2925,2.935
3.955,3.52,3.14
3.8275,3.3375,2.9375
4.755,3.4275,3.4125
5.2325,3.65,3.1525
5.3225,4.135,3.12
5.265,4.2975,3.2925
5.36,4.5425,4.0625
4.97,5.7175,3.835
4.3225,5.7075,3.485
4.4425,5.1775,3.3225
3.7625,5.965,4.03
4.14,5.3075,4.6175
4.51,5.4875,4.4675
4.2325,4.995,4.3075
4.1175,4.5,3.57
4.6525,3.5225,3.3975
5.0175,3.3725,3.075
4.585,3.2725,3.2775
4.6125,3.5175,3.2425
4.615,4.0525,3.1025
4.44,3.43,2.955
4.18,3.345,3.2675
4.375,3.63,3.2675
3.945,3.77,3.66
4.765,3.18,3.06
6.1725,3.02,2.935
5.8125,2.885,3.0025
5.8225,3.15,3.23
5.615,2.465,3.19
5.4125,2.85,3.3075
5.0175,2.37,3.1725
5.445,3.155,3.055
5.235,2.455,2.7675
5.425,2.665,2.915
4.8625,2.87,3.05
4.615,3.2825,2.67
4.83,2.7125,2.5525
4.43,3.155,2.725
4.5275,3.0875,2.98
4.01,3,2.84
3.7175,2.835,2.665
