H1,,,,H2,,,,H3,,,,H4,,,,H5,,,,H6,,,,H7,,,,H8,,,,H9,,,,H10,,,,H11,,,,H12,,,,H13,,,,H14,,,,H15,,,,H16,,,,H17,,,,H18,,,,H19,,,,H20,,,,H21,,,,H22,,,,H23,,,
Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off,Total_week,NonHVAC_week,Total_off,NonHVAC_off
12.41375,12.2453041,22.76875,22.6003825333334,10.24375,9.87869653333333,5.78,4.76506304999998,12.685,12.4886360333333,20.07875,18.6473703166667,10.8752273833333,10.5647895166667,8.41749913333334,8.1070262,8.1525,7.94539,12.68875,12.481683,8.32625000000001,8.10181469999998,13.5275,13.3030414,34.49375,14.5219953333333,29.98375,19.8520468333333,25.4425,24.5981746016667,34.12375,32.9265588316667,37.48,32.3896223333333,35.245,30.7313973333333,49.9025,37.30325,59.26125,41.49975,21.1775,21.0191,19.50375,19.34535,30.99625,30.4440256666667,28.31125,27.7590716666667,27.04125,6.708,26.8075,6.24625233333333,6.44250000000002,6.287777,10.39125,10.2291226666667,8.22500000000001,8.06742950000001,6.00249566666666,5.85306583333332,9.07374999999998,8.11658216666667,25.5212456666667,24.7568843333334,6.69375,6.55944333333333,6.17875,6.0398865,6.50374999999999,6.36200849999999,6.60375,6.46032966666667,5.63125,5.43842400000001,4.95750033333334,4.75792733333334,7.47875,7.26098133333332,20.93375,11.4985483333333,16.61125,16.4769433333333,20.565,20.428295,4.59000000000001,4.41656999999998,12.62625,12.4521005,5.18250000000002,5.03620166666667,5.68750000000001,5.53805333333332
13.885,13.7165587,12.27,12.1015624666667,6.64958333333335,6.28452526666665,12.9204166666667,12.5584289,11.8775,10.7665218333333,9.88125000000001,8.71741103333333,12.4275000666667,12.1170794,15.5525002333333,14.7633250166667,11.82125,11.614178,11.03625,10.5004323333333,17.4975,17.2729815,19.2875,19.0629136333333,27.36375,13.3463838333333,45.52,35.5510228333333,17.5175,16.4878587333333,36.29875,35.3580489333333,32.3625,28.1368738333333,35.21875,30.7891285,39.60125,24.88625,57.28375,42.09775,26.08,25.9216,29.9175,29.5181046666667,24.50375,23.9514773333333,31.1125,30.560303,25.02125,6.41961083333334,26.0325,5.83050000000001,7.78125000000001,7.62727700000001,12.52625,12.369399,6.57374999999999,6.42217533333334,7.39625,7.239399,14.2399983333333,8.41610033333333,9.0325,8.07537816666666,6.14125,6.0038255,5.70750000000001,5.57175433333333,5.0775,4.93264066666666,5.61625,5.46995166666666,4.32625000000001,4.12595866666665,4.61625133333334,4.428697,9.21499999999999,8.99962966666667,11.42125,11.2058491666667,18.4675,18.311459,24.4325,24.2996018333333,7.035,6.86088100000001,11.41375,11.239631,5.665,5.50814900000001,5.58875,5.43861433333333
15.40375,15.2353349333333,21.63125,21.4634368333334,7.06374999999999,6.49665189999998,7.57000000000001,6.66507428,12.69625,11.6508371666667,17.8725,16.8225329,25.0050000333333,24.5394350166666,18.96249995,18.1690410333334,9.73124999999999,9.52267499999999,8.42999999999999,8.22048849999999,12.85625,12.6317618,11.43875,11.2155496333333,23.57625,13.5780613333333,37.40375,27.3545407166667,26.96875,26.0823690116667,40.06,38.937663695,42.08375,37.7711345,32.7275,28.5791293333333,32.985,20.9595,48.69,34.245,18.14875,17.923031,20.41125,20.2550528333333,28.49875,27.9465453333333,29.31625,28.764069,12.965,6.94460033333333,12.035,10.729821,14.3425,14.185649,9.46999999999999,9.30643366666669,7.02499999999999,6.8674295,13.58875,12.4763903333333,10.51375,9.40890566666669,18.61875,17.6413443333333,6.21875,6.08660183333332,14.06,13.9271323333333,5.67749999999999,5.536478,18.20375,17.4026198333333,3.30875,3.10824933333333,12.632088,12.4428595,11.5225,11.3056906666667,8.70125,8.09809983333334,17.54625,17.4080755,21.3025,21.0024293333333,4.84125000000001,4.66785050000001,10.66625,10.49357,6.71624999999999,6.56683383333335,8.60250000000001,8.45089483333331
15.0275,14.8591000666667,19.2825,19.1146961666667,16.4141666666667,16.0521460333333,13.495,13.12912185,16.07625,14.5849679,17.89625,16.51563535,18.3356252,17.7523245666666,25.6150000333333,25.1873657666667,17.00875,16.8001555,34.0125,33.8031465,13.9775,13.7530013333333,18.32375,18.10054955,29.67875,19.6273088333333,24.49125,14.4233243166667,27.87375,26.959042345,27.66,26.6417550866667,34.47,30.1303785,33.1425,29.074373,41.88875,28.478,49.57125,31.8135,20.79625,20.637331,28.31625,28.1600764999999,25.53375,24.9814886666667,27.4675,26.9152506666666,13.66625,10.3338476666667,8.22,7.4436295,7.90374999999999,7.74303116666666,9.55000000000001,9.38496416666667,8.9625,8.4342895,7.91875,7.29083033333333,8.98124999999999,8.41253916666668,17.2525,15.897889,5.3975,5.2557585,3.9625,3.82147799999999,5.89749999999999,5.75575849999999,6.6925,5.88688333333333,3.1275,2.92484083333333,5.10222016666668,4.918268,11.77875,11.5609813333333,19.65625,19.2976091666667,20.075,19.9414128333333,21.86125,21.1321655,5.27125,5.09713100000001,21.535,21.0090713333334,3.18750000000001,3.03808383333334,6.70625,6.55536433333333
14.94375,14.7753444666667,24.15375,23.9864640666667,7.05458333333335,6.30424473333333,8.50624999999997,7.40406926666667,10.95875,8.28557938333333,21.2075,19.6440418333334,10.5718749166667,9.56886198333334,10.4555000666667,9.66472500000001,10.6625,10.4539235,17.53875,17.297365,13.1725,12.4120296666666,17.45,17.0665753666667,23.03625,12.9518205,37.7725,27.6522595,32.3475,31.180125,20.94375,19.5868710833333,37.485,32.367631,23.37125,19.2220756666667,26.55375,14.73825,47.565,32.337,23.83875,23.6797945,21.5975,21.0282338333333,23.8687500000001,23.3164453333333,37.12625,36.57905,20.86375,20.5440735,8.20874999999999,6.99887650000001,5.70125,5.53912266666667,9.26125,9.10128116666666,9.42249999999998,8.63642333333334,19.97,19.813149,9.21624999999998,8.24264733333334,24.09125,22.9301198333333,16.01875,15.880606,7.67375000000001,7.5288906666667,5.67625,5.53067116666667,10.395,10.2501406666667,6.435,6.23231033333333,3.297529,3.1083005,11.04875,10.7402978333333,12.96,12.7378838333333,24.35375,24.0505968333333,15.795,15.6575755,10.62125,10.44857,5.67624999999999,5.5021005,10.85625,10.7015575,6.09750000000001,5.94976266666664
12.77375,12.3066849333333,14.17875,14.0115897333334,4.51124999999999,4.14212999999999,7.96083333333334,7.13354613333334,15.39375,12.2087840166667,22.305,20.7318805,13.3100000666667,11.9765868333333,26.7345000666666,25.8120252833333,12.51125,11.8457981666667,15.29875,14.8990885,15.9175,14.91976735,21.02125,20.7710947666666,22.95375,12.8183263166667,22.79,12.686534,23.8675,22.3282710966667,11.0925,9.33113281333334,41.02,35.9836296666667,21.58,17.163033,30.21375,18.01275,37.32,21.291,24.31,23.4703798333334,19.725,18.9970426666667,30.31375,29.7615063333333,27.48625,26.93905,8.20874999999999,6.99887650000001,8.22,7.4436295,9.42375000000001,9.26018366666667,6.90499999999999,6.74599049999998,7.79125,7.4026095,6.35249999999999,6.19492949999999,10.8225,9.85789499999997,10.7025,10.3251308333333,8.04,7.8982585,8.34875,8.2098865,8.35,7.84062516666667,9.10625,8.96064066666667,4.16127833333333,3.97363450000001,10.6925146666667,10.493643,11.73875,11.4401275,15.97375,15.7590991666667,19.42,19.2811365,20.0575,19.9217543333333,12.23375,12.0603505,9.90750000000002,9.73553950000003,6.24375000000001,6.09505333333333,10.1675,10.0144863333333
19.015,17.4399695333334,11.365,10.4440441333333,6.00249999999999,4.83380171333334,11.415,10.3121169666667,13.3925,11.1143840833333,17.24125,14.2519619833334,13.5024999333333,12.3228915333333,24.4000000333333,23.2087402166667,24.27875,23.7491969999999,18.67375,17.4415853333333,15.55,15.1075783666667,18.56875,17.7916591333333,21.67,11.5555832,20.4525,10.3933015,17.64125,16.19764694,18.77,16.98105938,33.3675,28.75112,31.3375,26.4839133333333,32.95125,17.967,40.37,26.9,24.41125,23.8735581666666,28.71,27.9633765,28.97875,28.4265386666666,21.22375,20.0634075,6.55750000000001,5.66790999999999,12.035,10.729821,13.1725,13.0089336666667,12.68625,12.5248421666667,7.69249999999999,6.57787433333333,8.18875,8.02806166666666,10.6175,9.45493049999999,10.7025,10.3251308333333,6.14999999999999,6.00969750000001,5.90125,5.763106,5.8325,5.68620166666666,5.11875,4.96797999999999,4.168775,3.98479233333333,3.87573899999999,3.694106,8.22374999999999,7.93790733333334,8.9425,8.72185333333333,21.29125,21.153106,15.615,15.0126576666667,9.71500000000001,9.539442,7.08749999999999,6.91266149999998,3.48,3.33226266666668,7.1275,6.97589483333333
20.18875,19.9209152666667,16.02375,12.2845210166667,6.55999999999999,5.76604845000001,9.97,8.40287386666667,15.895,14.3084222166667,14.43125,11.0473038166667,15.0700001333333,14.4413132666667,9.51000030000002,8.30659455000001,13.2225,13.0135875,7.92000000000001,6.8504035,17.625,17.4022665,43.26125,42.4455888,24.02,13.9731324333333,20.83375,10.779805,18.3925,17.207098075,52.00375,50.5139708733333,35.4525,31.0903691666667,18.41125,13.746092,39.80875,25.28725,38.2025,22.87025,20.34,20.1829715,22.71375,21.1057365,32.05125,31.5012013333334,29.44375,28.4356605,5.2675,4.942618,10.285,9.96087616666667,7.98750000000001,7.82465316666667,11.6475,11.4860921666667,8.155,7.08833850000002,13.4325,12.14625,13.89,12.7191106666667,10.6175,9.45493049999999,10.70625,10.568106,9.41375,9.28304083333336,6.0675,5.37509249999999,10.99125,10.8463906666667,6.1925115,5.99129133333334,6.28126416666667,6.08603983333333,9.6675,9.44757283333332,22.485,22.2612355,28.955,28.4306941666667,28.0025,26.9990711666667,12.12,11.7869835,16.4825,16.3122183333333,5.7075,5.5520575,11.815,11.661027
11.35125,11.1841334666667,11.11,10.0467347333333,9.18916666666669,8.66267173333332,8.83666666666667,7.44545090000001,16.33875,14.8710396666667,17.47375,14.6215758833333,18.1399999,17.4179166833333,11.4331821166667,10.1387747666667,13.81875,13.3568958333333,6.05250000000001,5.01528006666669,17.81875,17.5962675333333,17.76375,17.1838908333333,22.865,12.7832515,28.255,18.2332385,26.82875,25.6396713666667,23.03,21.2822210333333,35.17,30.679926,27.555,22.3775073333334,39.74875,26.926,27.91,15.09025,21.80625,21.6469383333333,20.665,20.0296625,25.86875,25.32155,27.56,26.5917481666667,5.2675,4.942618,13.7125,13.3463706666667,13.86125,13.6931268333333,17.98,17.8164336666667,9.53124999999999,8.63933433333334,9.35,7.75325,10.92,9.50998783333331,10.8225,9.85789499999997,4.57875,4.43386016666667,8.91875000000001,8.09432566666667,4.28875000000001,4.13645583333332,11.19625,10.4738948333333,3.23377583333333,3.04763466666667,5.40001783333334,5.21693283333334,6.7975,6.57394483333334,11.5475,11.3237355,18.54,18.3276776666666,29.09625,28.4623796666667,8.905,8.73016149999999,8.39875,7.97340249999999,8.24249999999999,8.09164483333333,9.33375,9.17977699999999
13.1375,12.9703268666667,12.39875,10.8426436666666,9.62583333333333,9.03952446666665,6.84875000000001,5.32369136666669,14.59875,13.28998045,15.53375,12.7127647166667,11.1675000833333,10.4763567666667,18.1399998166667,16.81671825,8.55375,8.25488066666665,13.0525,12.0111888333333,10.62625,10.4039607333333,15.06375,14.3555989,20.80875,10.8410398666667,26.04375,16.069228,40.8875,39.7612065116667,41.32625,39.7698936233334,31.77375,27.4976636666667,24.86375,20.407798,38.385,25.44675,44.2250000000001,28.2155,27.7275,27.5682333333333,20.99125,19.7842098333333,26.7225,26.1753,37.31,36.5221403333334,6.55750000000001,5.66790999999999,20.08875,19.5620888333333,13.34875,13.1837141666667,13.615,13.4499946666666,9.745,9.35110183333334,11.55125,9.9755,14.11,12.9833741666667,12.21125,11.8218628333333,8.59125,8.4487585,16.715,16.230405,6.25375,6.10289483333333,8.78624999999999,7.8846485,12.1487525,11.955918,10.324585,10.1406023333333,7.07249999999999,6.84969483333334,20.805,20.3368871666667,18.01875,17.819978,25.20625,24.1928871666667,11.20625,11.030692,12.79,12.6181865,13.73125,13.5818033333333,7.82625,6.94333866666665
