Spring,,,,Summer,,,,Fall,,,,Winter,,,,Total,,,
Total,Non-HVAC,AC,Furnace,Total,Non-HVAC,AC,Furnace,Total,Non-HVAC,AC,Furnace,Total,Non-HVAC,AC,Furnace,Total,Non-HVAC,AC,Furnace
0.0757258147234659,0.0591567023935083,0.0068007740619278,0.00976854574583745,0.0855746260786874,0.0690169525843164,0.00679089062394673,0.00976677978513974,0.130195269015279,0.0881204970230106,2.65004470825211e-06,0.0420727855033605,0.0763246685650445,0.0664783698592263,3.35999999997934e-06,0.00984221890059769,0.367820378382477,0.282772521860062,0.0135976747305828,0.0714503299349354
0.0732568508462143,0.0566875017418121,0.0068007740619278,0.00976863157652593,0.0967489749129071,0.080191051415677,0.00679089062394673,0.00976677978513974,0.118476625524057,0.0679644472999048,2.65004470825211e-06,0.0505102854848567,0.079017331251092,0.0691709814214871,3.35999999997934e-06,0.0098422999524372,0.36749978253427,0.274013981878881,0.0135976747305828,0.0798879967989596
0.0725439817607189,0.0559748043176937,0.0068007740619278,0.00976845991514898,0.0832571019015551,0.066699428407186,0.00679089062394673,0.00976677978513974,0.12475836891486,0.0826833155082442,2.65004470825211e-06,0.0420727854847221,0.0897502068823176,0.0799039285104519,3.35999999997934e-06,0.00984221414237639,0.370309659459452,0.285261476743576,0.0135976747305828,0.0714502393273872
0.0681239183440869,0.0515545952447637,0.0068007740619278,0.00976863165136431,0.0989811444906126,0.0824232209933825,0.00679089062394673,0.00976677978513974,0.102993838961514,0.0813729107372181,2.65004470825211e-06,0.0216182854848817,0.0695256183178826,0.0593493732638108,3.35999999997934e-06,0.0101731827777072,0.339624520114096,0.274700100239175,0.0135976747305828,0.0513268796990929
0.0852271707133803,0.0686578216562092,0.0068007740619278,0.00976863165136431,0.0928866377441032,0.0763287220622322,0.00679089062394673,0.00976677978513974,0.0866463604867304,0.0706508385130195,2.65004470825211e-06,0.0159932854849225,0.0894318968596206,0.0795183236778523,3.35999999997934e-06,0.00990951090540359,0.354192065803834,0.295155705909313,0.0135976747305828,0.0454382078268301
0.08002936857853,0.0634600458504515,0.0068007740619278,0.00976863169327383,0.0996714769134326,0.0831135609836082,0.00679089062394673,0.00976677978513974,0.0856656535011548,0.0743577250936717,2.65004470825211e-06,0.0113057854849634,0.079625623307735,0.0694483837916515,3.35999999997934e-06,0.0101731830991213,0.344992122300852,0.290379715719383,0.0135976747305828,0.0410143800624983
0.0856445059604754,0.0690753284734666,0.0068007740619278,0.00976846011571591,0.0980369790640657,0.0814790631390096,0.00679089062394673,0.00976677978513974,0.102831491690789,0.0915235633754063,2.65004470825211e-06,0.0113057854849225,0.0762320405416166,0.0659669104999124,3.35999999997934e-06,0.0102610736247153,0.362745017256947,0.308044865487795,0.0135976747305828,0.0411020990104934
0.0850432373277152,0.0684740004799713,0.0068007740619278,0.00976854590449487,0.0996455688906289,0.0830876510077987,0.00679089062394673,0.00976677978513974,0.0786728487898189,0.0673648268157129,2.65004470825211e-06,0.0113057854848406,0.0760483342582546,0.0658659394363661,3.35999999997934e-06,0.0101783325869685,0.339409989266418,0.284792417739849,0.0135976747305828,0.0410194437614437
0.0809465171801196,0.0643771680277404,0.0068007740619278,0.00976863177709286,0.104461949278085,0.0879040274928175,0.00679089062394673,0.00976677978513974,0.0811509084425709,0.0698429802188653,2.65004470825211e-06,0.0113057854847681,0.0878964005166981,0.0780527096552228,3.35999999997934e-06,0.0098396280264994,0.354455775417474,0.300176885394646,0.0135976747305828,0.0406808250735001
0.0724470933951814,0.0558777708761218,0.0068007740619278,0.00976863157592718,0.106346273924764,0.0897883521366376,0.00679089062394673,0.00976677978513974,0.0809946036815117,0.0696866751828406,2.65004470825211e-06,0.0113057854847476,0.0932930765108069,0.0834451103907965,3.35999999997934e-06,0.00984390328598536,0.353081047512264,0.298797908586396,0.0135976747305828,0.0406851001317999
0.0684465080965639,0.0518773308105394,0.0068007740619278,0.00976845991455023,0.102108568763387,0.0855506474663732,0.00679089062394673,0.00976677978513974,0.142665321752485,0.100082299778857,2.65004470825211e-06,0.0425807854846906,0.0885153824883469,0.0786675414090705,3.35999999997934e-06,0.00984377824811237,0.401735781100784,0.31617781946484,0.0135976747305828,0.0719598034324929
0.072483253969551,0.055913933342462,0.0068007740619278,0.00976863157592718,0.108545488624626,0.0919875673276122,0.00679089062394673,0.00976677978513974,0.0998276383697598,0.0694322101458039,2.65004470825211e-06,0.0303932854846906,0.0580051385885891,0.0481555810467902,3.35999999997934e-06,0.00984649470777396,0.338861519552526,0.265489291862668,0.0135976747305828,0.0597751915535315
0.0855753145211895,0.0690059934669736,0.0068007740619278,0.00976863157592718,0.0892063620705978,0.0726484407707227,0.00679089062394673,0.00976677978513974,0.123328841852703,0.0704334032956563,2.65004470825211e-06,0.0528932955429744,0.0754486388729131,0.0656028441074161,3.35999999997934e-06,0.00984173198019871,0.373559157317404,0.277690681640769,0.0135976747305828,0.08227043888424
0.074629104526624,0.0580600155127017,0.0068007740619278,0.00976837408386175,0.0882334186993954,0.0716755130273794,0.00679089062394673,0.00976677978513974,0.157896893380362,0.0796888720674881,2.65004470825211e-06,0.0782057848240857,0.0803968051486957,0.0705300289723164,3.35999999997934e-06,0.00986271351001017,0.401156221755077,0.279954429579886,0.0135976747305828,0.107603652203097
