Spring,,,,Summer,,,,Fall,,,,Winter,,,,Total,,,,Total,,,
Total (kWh),Non-HVAC (kWh),AC (kWh),Furnace (kWh),Total (kWh),Non-HVAC (kWh),AC (kWh),Furnace (kWh),Total (kWh),Non-HVAC (kWh),AC (kWh),Furnace (kWh),Total (kWh),Non-HVAC (kWh),AC (kWh),Furnace (kWh),Total (kWh),Non-HVAC (kWh),AC (kWh),Furnace (kWh),Total (GJ),Non-HVAC (GJ),AC (GJ),Furnace (GJ)
1097.65374997333,1045.49802603333,1.43692896300001,50.7224450416666,1153.10124997333,1103.5403924,20.342524642,29.2300170866667,1463.27,1317.3391166,0.0220016208333332,145.916028988333,1300.6575,1058.91526309,0.0339742838333335,241.730883578333,5014.68249994667,4525.29279812333,21.8354295096667,467.599374695001,18.0514128867771,16.2897508931725,0.0786012581341494,1.68322309105472
694.21625,621.414649483334,10.923369447,61.9282668116667,763.892380825,672.08817665,65.0038700816669,26.8020560066667,816.44125,696.91854831,1.54214270466668,118.068571548333,823.295,651.21081543,0.00647244299999998,172.341408623334,3097.844880825,2641.63218987333,77.4758546763328,379.14030299,11.151349463013,9.50911515433166,0.278890765573552,1.36479590709143
1450.22249996333,1160.69016538833,140.814958941667,148.738065381667,1744.35,1127.886940405,447.078864833333,169.435386815,1604.4175,1330.9829657,0.365265507166669,273.093825006667,1416.1825,1019.6610442,0.478494099499999,396.080933453333,6215.17249996334,4639.22111569334,588.737583381668,987.348210656666,22.3728311733741,16.6998600276938,2.11928575731342,3.55416922482601
1434.7800048,1264.80515021667,1.58160627933333,168.973722616666,1233.13560286667,1079.79775746667,119.545474276333,33.8783721050001,1596.20022801667,1329.50386938333,1.36571579700001,266.352957146667,1813.2325,1387.96931576667,1.48934848916667,425.536249988834,6077.34833568333,5062.07609283334,123.982144841833,894.741301857168,21.8767038721502,18.2220161729062,0.446300017429205,3.22081102180406
1531.43875,1283.55565483333,221.514356275,26.369566735,1935.73625,1333.37090386667,591.546384051667,10.81976648,1443.15125,1357.9890629,8.22844748833331,76.9345210516666,1590.49625,1457.15439386667,8.0016045,125.34041752,6500.8225,5432.07001546667,829.290792314999,239.464271786666,23.401088912887,19.5538877446604,2.98520803569114,0.86200241823854
1595.94374996667,1508.96890656667,22.8221175281667,64.1633326166667,2359.70125,2167.0775829,97.7524455578333,94.8654073183333,1601.3125,1513.33103651667,0.0808026164999999,87.90710181,1484.54375,1320.5963955,0.170140661499999,163.77767397,7041.50124996667,6509.97392148333,120.825506364,410.713515715001,25.3473767097432,23.4340313948284,0.434937027948165,1.47845038054356
1796.95125,1280.38112888333,286.729744971833,229.839451408333,3129.11625,1199.25930541667,1035.78599714583,894.070999396667,2157.1025,1255.23044731667,14.2273437666666,887.644500000001,1816.48124999667,1344.729673358,0.239466476166667,471.515888318001,8899.65124999666,5079.60055497467,1336.9825523605,2483.070839123,32.0361816054596,18.2850991899736,4.81275216832434,8.93833995364652
2647.81375,2433.15880928,77.4027678283335,137.252172891667,2454.1725,2307.3944466775,82.6137090666663,64.1643442558333,2492.35625,2331.74557145,10.894220085,149.716458465,2527.90375,2287.05063579833,10.88343794,229.969676261667,10122.24625,9359.34946320584,181.794134919999,581.102651874168,36.4371715262779,33.6909627905178,0.654406533189342,2.0918022025708
2942.58673880667,2196.11824483333,266.164817255,480.288,3661.564366325,2512.18626333333,570.582218866666,578.804250015,3116.43573923333,2674.16484383334,29.0669761833332,413.20125,3039.978516,2530.91582533333,29.3830543333332,479.682000000002,12760.565360365,9913.38517733334,895.197066638334,1951.975500015,45.9343605484701,35.6853318118551,3.2224516437665,7.02654967607991
4059.31875,2449.68229676667,181.17084122,898.890750000002,5899.00625,3653.88887636667,799.752000815833,941.943000000002,3339.54375,2047.166247,0.400298457833333,889.695000000001,3004.775,1618.30174168333,0.00109652233333333,915.972750002002,16302.64375,9769.03916181666,981.324237016,3646.50150000201,58.6848227141829,35.165727724322,3.53248465448524,13.1263552915839
2236.18625,1984.97392933333,178.013469595,73.2008561216667,2420.5225,1945.59322133333,368.775071539333,106.154352466667,2256.165,2169.15301983333,0.00941639266666672,87.0042842666667,2395.775,2255.8636385,0.0120055891666667,139.901296295,9308.64875,8355.58380900001,546.809963116166,406.260789150001,33.5084548236141,30.0776954967603,1.96835839854632,1.46242184719223
2699.26125,2471.15597316667,114.491293846667,113.608212078334,2784.2925,2312.46935033333,376.392688889501,95.4514008316668,2964.1575,2885.8569775,27.5759872833334,50.724634525,3377.29125,3301.95025066667,4.44624224933336,70.901499115,11825.0025,10971.4325516667,522.906212268836,330.685746550001,42.5666036717063,39.4939976661867,1.88231177922547,1.19037345770339
2037.0475055,1078.29093933333,194.988129833333,763.768228333333,1923.15124966667,871.449557333333,538.4864745,513.215173833333,1412.7275,1055.0499885,27.0482055,330.629074833333,1701.5225,1150.419492,0.0223045,551.080137166667,7074.44875516667,4155.20997716667,760.545114333334,2158.69261416666,25.4659782403408,14.957559313055,2.73774339212863,7.77067175725941
1245.61624483333,1056.02058933333,112.254585333333,77.3405843333333,2249.08875,1046.020303,773.554095333334,429.513063833334,1288.135,1232.94287833333,0.607292166666669,54.5841345000001,1138.50625,958.916287333333,3.67830733333333,175.913081666667,5921.34624483333,4293.900058,890.094280166668,737.350864333335,21.3151412700984,15.4568036645068,3.20408308195345,2.65425077153828
942.661250333333,758.399968166667,42.0342841666667,142.226998000001,1555.94,1017.82054483333,174.697397,363.422041333333,850.744995666666,716.7626095,0.0147865,133.967101333334,851.651249999999,648.3211205,0.002878,203.327251500001,4200.997496,3141.304243,216.749345666667,842.943392166669,15.1223811951044,11.3077906515479,0.780235225581953,3.03435346352293
1867.93625,1162.42052216667,248.481549666667,457.035905833334,2178.8725,1253.82271183333,479.2053435,445.844111666666,1752.606244,1384.53733933333,4.1785385,363.891599,1869.9275,1399.78677816667,0.957295333333334,469.183926166667,7669.342494,5200.5673515,732.822726999999,1735.95554266667,27.6074243844492,18.7205448218143,2.6379507811375,6.24894003839693
958.421246666667,822.493039666667,73.1965984999999,62.7289163333333,1247.10250066667,668.345978,393.946185666667,184.8098885,781.55125,701.438322,0.0137005,80.0989591666667,1264.35625,1070.74140183333,0.035945,193.5778845,4251.43124733333,3263.0187415,467.192429666667,521.215648500001,15.3039281761459,11.7459277951764,1.68175820614351,1.87622623650108
919.406251666666,633.148622,176.073752666666,110.184436333333,1679.68125,682.1783615,709.7749885,287.729532166667,776.6325,685.9763815,2.306232,88.3516796666667,842.062500000001,639.244937166667,1.78884833333333,201.0286975,4217.78250166667,2640.54830216667,889.943821499999,687.294345666667,15.1828023818095,9.50521347072234,3.20354147408207,2.47406171946244
